Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis,,
2/9/2019,0:42,TRAFFIC STOP,TRAFFIC STOP,BANCROFT IFO BANWAY,37.867904,-122.266867,N/A,,
2/9/2019,0:49,TRAFFIC STOP,TRAFFIC STOP,BOWDITCH S DURANT,37.87158,-122.256707,N/A,,
2/9/2019,0:53,OTHERASSAULTS,BATTERY AGAINST PEACE OFFICER,MAX MARTINEZ,37.866781,-122.257606,"OCCURRED: 02/09/19 0113 HOURS. VERGARA, ELIZABETH (FH-21-S) ARRESTED FOR BATTERY, AND BATTERY AGAINST A PEACE OFFICER, MAX MARTINEZ. TO BPD JAIL.",,
2/9/2019,1:03,LARCENY/THEFT,PETTY THEFT -REPORT,REC SPRT FAC,37.868572,-122.262722,"OCCURRED: 02/08/19 1800 HOURS - 02/09/19 0100 HOURS (MW-23-S) REPORTS THE THEFT OF HIS BICYCLE LIGHT, RSF. LOSS OF $200.00.",,
2/9/2019,1:14,DISORDERLY CONDUCT,DRUNK IN PUBLIC,MAX MARTINEZ,37.866781,-122.257606,"OCCURRED: 02/09/19 0105 HOURS. MARTINEZ, XIAMARA (FH-22-S) ARRESTED FOR BEING DRUNK IN PUBLIC, MARTINEZ COMMONS. TO BPD JAIL.",,
2/9/2019,2:20,TRAFFIC STOP,TRAFFIC STOP,UNIVERSITY MILVIA,37.871804,-122.270728,N/A,,
2/9/2019,4:58,PEDESTRIAN STOP,SUSPECT STOP,DURANT CA HALL,37.871268,-122.260095,N/A,,
2/9/2019,12:06,DISORDERLY CONDUCT,LODGING,DWINELLE HALL,37.870547,-122.260603,N/A,,
2/9/2019,12:14,TRAFFIC STOP,TRAFFIC STOP,WEST CRESCENT,37.871785,-122.265027,N/A,,
2/9/2019,12:56,DISORDERLY CONDUCT,LODGING,WHEELER HALL,37.871328,-122.259146,N/A,,
2/9/2019,13:08,TRAFFIC STOP,TRAFFIC STOP,HEARST-LEROY,37.875338,-122.258314,N/A,,
2/9/2019,13:25,LARCENY/THEFT,GRAND THEFT -BIKE REPORT,UNIT-2 EHRMAN,37.865827,-122.255324,"OCCURRED: 02/08/19 1130 - 02/09/19 1240 HRS (MH-19-S) REPORTS THE THEFT OF HIS BLK SPECIALIZED BIKE, LOSS $1200.  UNIT-2 EHRMAN BIKE SHED.",,
2/9/2019,13:28,TRAFFIC STOP,TRAFFIC STOP,EAST GATE,0,0,N/A,,
2/9/2019,15:43,PEDESTRIAN STOP,SUSPECT STOP,GENETICS & PLANT BIOLOGY,37.873456,-122.26471,N/A,,
2/9/2019,15:44,PEDESTRIAN STOP,SUSPECT STOP,STRUCTURE H,0,0,N/A,,
2/9/2019,16:15,PEDESTRIAN STOP,SUSPECT STOP,ASUC GARAGE,37.86946,-122.259685,N/A,,
2/9/2019,16:25,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,660 KINKEAD WAY,37.883999,-122.302923,N/A,,
2/9/2019,17:13,FORGERY AND COUNTERFEITING,FRAUDULENT USE OF CREDIT CARD,BOALT HALL,37.869768,-122.253893,"OCCURRED:  01-25-19 UNK TIME (FB-42-E) REPORTS FRAUDULENT USE OF HER UCB EVENT CARD, BOALT HALL.",,
2/9/2019,17:19,OUTSIDE ASSIST,OUTSIDE ASSIST BPD COVER,BENV-PARKER,37.863525,-122.255007,N/A,,
2/9/2019,20:02,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,REC SPRT FAC GARAGE,37.868572,-122.262722,N/A,,
2/9/2019,21:32,TRAFFIC STOP,TRAFFIC STOP,GAYLEY/STADIUM RIM,37.872586,-122.253731,N/A,,
